group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdd from expr,,,,,1100872.0,ns,172
bdd from expr,,,,,1990029.0,ns,344
bdd from expr,,,,,2989394.0,ns,516
bdd from expr,,,,,3985758.0,ns,688
bdd from expr,,,,,4980224.0,ns,860
bdd from expr,,,,,5984488.0,ns,1032
bdd from expr,,,,,6966152.0,ns,1204
bdd from expr,,,,,7970517.0,ns,1376
bdd from expr,,,,,8978683.0,ns,1548
bdd from expr,,,,,9951846.0,ns,1720
bdd from expr,,,,,10962311.0,ns,1892
bdd from expr,,,,,11970977.0,ns,2064
bdd from expr,,,,,12956241.0,ns,2236
bdd from expr,,,,,13957705.0,ns,2408
bdd from expr,,,,,14945170.0,ns,2580
bdd from expr,,,,,15946835.0,ns,2752
bdd from expr,,,,,16935299.0,ns,2924
bdd from expr,,,,,17941864.0,ns,3096
bdd from expr,,,,,18923428.0,ns,3268
bdd from expr,,,,,19925493.0,ns,3440
bdd from expr,,,,,20933558.0,ns,3612
bdd from expr,,,,,21914522.0,ns,3784
bdd from expr,,,,,22933989.0,ns,3956
bdd from expr,,,,,23923152.0,ns,4128
bdd from expr,,,,,24903316.0,ns,4300
bdd from expr,,,,,25914482.0,ns,4472
bdd from expr,,,,,26895245.0,ns,4644
bdd from expr,,,,,27893610.0,ns,4816
bdd from expr,,,,,42887383.0,ns,4988
bdd from expr,,,,,30652889.0,ns,5160
bdd from expr,,,,,32313397.0,ns,5332
bdd from expr,,,,,33187354.0,ns,5504
bdd from expr,,,,,34520040.0,ns,5676
bdd from expr,,,,,35411798.0,ns,5848
bdd from expr,,,,,36493768.0,ns,6020
bdd from expr,,,,,38961128.0,ns,6192
bdd from expr,,,,,39146940.0,ns,6364
bdd from expr,,,,,38493697.0,ns,6536
bdd from expr,,,,,39496463.0,ns,6708
bdd from expr,,,,,43162301.0,ns,6880
bdd from expr,,,,,41781612.0,ns,7052
bdd from expr,,,,,44114662.0,ns,7224
bdd from expr,,,,,43740739.0,ns,7396
bdd from expr,,,,,47941411.0,ns,7568
bdd from expr,,,,,44826709.0,ns,7740
bdd from expr,,,,,45571157.0,ns,7912
bdd from expr,,,,,46816138.0,ns,8084
bdd from expr,,,,,47856605.0,ns,8256
bdd from expr,,,,,48806867.0,ns,8428
bdd from expr,,,,,49864936.0,ns,8600
bdd from expr,,,,,50722591.0,ns,8772
bdd from expr,,,,,51677554.0,ns,8944
bdd from expr,,,,,52890132.0,ns,9116
bdd from expr,,,,,53380364.0,ns,9288
bdd from expr,,,,,54673248.0,ns,9460
bdd from expr,,,,,55342691.0,ns,9632
bdd from expr,,,,,56735181.0,ns,9804
bdd from expr,,,,,57732660.0,ns,9976
bdd from expr,,,,,58807131.0,ns,10148
bdd from expr,,,,,59790296.0,ns,10320
bdd from expr,,,,,60636750.0,ns,10492
bdd from expr,,,,,61580912.0,ns,10664
bdd from expr,,,,,62776690.0,ns,10836
bdd from expr,,,,,63587943.0,ns,11008
bdd from expr,,,,,64694415.0,ns,11180
bdd from expr,,,,,65819288.0,ns,11352
bdd from expr,,,,,66686544.0,ns,11524
bdd from expr,,,,,67724213.0,ns,11696
bdd from expr,,,,,68456860.0,ns,11868
bdd from expr,,,,,69382720.0,ns,12040
bdd from expr,,,,,70841015.0,ns,12212
bdd from expr,,,,,71749674.0,ns,12384
bdd from expr,,,,,72304311.0,ns,12556
bdd from expr,,,,,73196869.0,ns,12728
bdd from expr,,,,,74317942.0,ns,12900
bdd from expr,,,,,75423314.0,ns,13072
bdd from expr,,,,,76268169.0,ns,13244
bdd from expr,,,,,77211330.0,ns,13416
bdd from expr,,,,,78146792.0,ns,13588
bdd from expr,,,,,79300666.0,ns,13760
bdd from expr,,,,,80007713.0,ns,13932
bdd from expr,,,,,81560514.0,ns,14104
bdd from expr,,,,,82555978.0,ns,14276
bdd from expr,,,,,83551644.0,ns,14448
bdd from expr,,,,,83740356.0,ns,14620
bdd from expr,,,,,85402464.0,ns,14792
bdd from expr,,,,,86492635.0,ns,14964
bdd from expr,,,,,87443597.0,ns,15136
bdd from expr,,,,,88089739.0,ns,15308
bdd from expr,,,,,89438427.0,ns,15480
bdd from expr,,,,,90521898.0,ns,15652
bdd from expr,,,,,91105035.0,ns,15824
bdd from expr,,,,,92410320.0,ns,15996
bdd from expr,,,,,93413686.0,ns,16168
bdd from expr,,,,,94193537.0,ns,16340
bdd from expr,,,,,95421817.0,ns,16512
bdd from expr,,,,,95820543.0,ns,16684
bdd from expr,,,,,96183566.0,ns,16856
bdd from expr,,,,,98362509.0,ns,17028
bdd from expr,,,,,98918245.0,ns,17200
